sample	id	path	group
Ca.1	Ca.1	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.1.salmon_quant/quant.sf	Treatment
Ca.2	Ca.2	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.2.salmon_quant/quant.sf	Treatment
Ca.3	Ca.3	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.3.salmon_quant/quant.sf	Treatment
Ca.4	Ca.4	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.4.salmon_quant/quant.sf	Treatment
Ca.5	Ca.5	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.5.salmon_quant/quant.sf	Treatment
Ca.6	Ca.6	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.6.salmon_quant/quant.sf	Treatment
Ca.7	Ca.7	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.7.salmon_quant/quant.sf	Treatment
Ca.8	Ca.8	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.8.salmon_quant/quant.sf	Treatment
Ca.9	Ca.9	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.9.salmon_quant/quant.sf	Treatment
Ca.10	Ca.10	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.10.salmon_quant/quant.sf	Treatment
Ca.11	Ca.11	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.11.salmon_quant/quant.sf	Treatment
Ca.12	Ca.12	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.12.salmon_quant/quant.sf	Treatment
Ca.13	Ca.13	/Users/jayelazuno/workspace/EvoPhosphoOmics/alignments/star/quant/Ca/Calb_rep1/Ca.13.salmon_quant/quant.sf	Treatment
